# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
R3004	演出场所经营	8820艺术表演场馆 中外合资经营、中外合作经营的演出场 所经营单位设立	演出场所经营 8820艺术表演场馆 中外合资经营、中外合作经营的演出场 所经营单位设立审批;台湾地区投资者 在大陆投资设立合资、合作经营的演出 场所经营单位审批;港、澳地区投资者 在内地投资设立合资、合作、独资经营 的演出场所经营单位审批; 中外合资经营、中外合作经营的演出 场所经营单位设立审批台湾地区投资 者在大陆投资设立合资、合作经营的 演出场所经营单位审批港、澳地区投 资者在内地投资设立合资、合作、独 资经营的演出场所经营单位审批
R3005	文物文化遗址保护服务	8840文物及非物质文化遗产保护	文物文化遗址保护服务 8840文物及非物质文化遗产保护
R3006	非物质文化遗产保护	8840文物及非物质文化遗产保护	非物质文化遗产保护 8840文物及非物质文化遗产保护
R3007	馆藏文物修复、复制、拓印	8840文物及非物质文化遗产保护 馆藏文物修复、复制、拓印单位资质认 定; 馆藏文物修复、复制、拓印单位资质 认定 馆藏文物修复、复制、拓 印资质	馆藏文物修复、复制、拓印 8840文物及非物质文化遗产保护 馆藏文物修复、复制、拓印单位资质认 定; 馆藏文物修复、复制、拓印单位资质 认定 馆藏文物修复、复制、拓 印资质许可
R3008	网络文化经营	8890其他文化艺术业 经营性互联网文化单位设立	网络文化经营 8890其他文化艺术业 经营性互联网文化单位设立审批; 经营性互联网文化单位设立审批 经营进口互联网文化产品 的活动应当由取得文化行 政部门核发的《网络文化 经营许可证》的经营性互 《外资负面清单》禁止投资互联网新闻信息服务、网络出版服务、网络视听节目服务、互联网文化 经营（音乐除外）、互联网公众发布信息服务（上述服务中，中国入世承诺中已开放的内容除外）
R3009	史料、史志编辑服务	8890其他文化艺术业	史料、史志编辑服务 8890其他文化艺术业
R3010	艺（美）术品、收藏品鉴定评 估服务	8890其他文化艺术业	艺（美）术品、收藏品鉴定评 估服务 8890其他文化艺术业
R3012	个人互联网直播服务（需备	881文艺创作与表演	个人互联网直播服务（需备 881文艺创作与表演
R3013	文化场馆管理服务	885博物馆	文化场馆管理服务 885博物馆
R4001	体育竞赛组织	8911体育竞赛组织	体育竞赛组织 8911体育竞赛组织
R4002	体育保障组织	8912体育保障组织	体育保障组织 8912体育保障组织
R4003	体育场地设施经营（不含高危 险性体育运动）	8921体育场馆管理；8929其他体育场地设施管理 公共场所卫生	体育场地设施经营（不含高危 险性体育运动） 8921体育场馆管理；8929其他体育场地设施管理 公共场所卫生许可; 公共场所卫生许可
R4004	高危险性体育运动（游泳）	8921体育场馆管理 经营高危险性体育项目	高危险性体育运动（游泳） 8921体育场馆管理 经营高危险性体育项目许可;公共场所 卫生许可; 经营高危险性体育项目许可公共场所 卫生许可 经营高危险性体育项目许 可
R4005	高危险性体育运动（滑雪）	8921体育场馆管理 经营高危险性体育项目	高危险性体育运动（滑雪） 8921体育场馆管理 经营高危险性体育项目许可; 经营高危险性体育项目许可 经营高危险性体育项目许
R4006	高危险性体育运动（潜水）	8921体育场馆管理 经营高危险性体育项目	高危险性体育运动（潜水） 8921体育场馆管理 经营高危险性体育项目许可; 经营高危险性体育项目许可 经营高危险性体育项目许 可；
R4007	高危险性体育运动（攀岩）	8921体育场馆管理 经营高危险性体育项目	高危险性体育运动（攀岩） 8921体育场馆管理 经营高危险性体育项目许可; 经营高危险性体育项目许可 经营高危险性体育项目许
R4008	经营营业性射击场所	8921体育场馆管理 弩的制造、销售、进口、运输、使用审 批（制造、销售、进口、或营业性射击 弩的制造、销售、进口、运输、使用	经营营业性射击场所 8921体育场馆管理 弩的制造、销售、进口、运输、使用审 批（制造、销售、进口、或营业性射击 弩的制造、销售、进口、运输、使用 审批（制造、销售、进口、或营业性
R4009	健身休闲活动	8930健身休闲活动	健身休闲活动 8930健身休闲活动
R4010	健身气功站点经营	8930健身休闲活动 设立健身气功站点	健身气功站点经营 8930健身休闲活动 设立健身气功站点审批; 设立健身气功站点审批
R4011	体育中介代理服务	8991体育中介代理服务	体育中介代理服务 8991体育中介代理服务
R4012	体育健康服务	8992体育健康服务	体育健康服务 8992体育健康服务
R4013	射击竞技体育运动	8921体育场馆管理 从事射击竞技体育运动单位	射击竞技体育运动 8921体育场馆管理 从事射击竞技体育运动单位审批; 从事射击竞技体育运动单位审批
R4014	一般危险性体育运动	8921体育场馆管理	一般危险性体育运动 8921体育场馆管理
R4015	棋牌室服务	893健身休闲活动	棋牌室服务 893健身休闲活动
R4017	以休闲、娱乐为主的动手制作 室内娱乐活动	8919其他体育组织	以休闲、娱乐为主的动手制作 室内娱乐活动 8919其他体育组织
R5001	歌舞娱乐活动	9011歌舞厅娱乐活动 歌舞娱乐场所设立	歌舞娱乐活动 9011歌舞厅娱乐活动 歌舞娱乐场所设立审批;中外合资经营 、中外合作经营的娱乐场所设立审批; 歌舞娱乐场所设立审批中外合资经营 、中外合作经营的娱乐场所设立审批 娱乐场所从事娱乐场所经 营活动许可； 《外资负面清单》禁止投资文艺表演团体。
R5002	游艺娱乐活动	9012电子游艺厅娱乐活动；9019其他室内娱乐活动 公共场所卫生	游艺娱乐活动 9012电子游艺厅娱乐活动；9019其他室内娱乐活动 公共场所卫生许可;游艺娱乐场所设立 审批; 公共场所卫生许可游艺娱乐场所设立 审批
R5004	台球活动	9019其他室内娱乐活动	台球活动 9019其他室内娱乐活动
R5005	互联网上网服务	9013网吧活动 互联网上网服务营业场所信息网络安全 审核;互联网上网服务营业场所经营单 位（含港、澳投资）设立	互联网上网服务 9013网吧活动 互联网上网服务营业场所信息网络安全 审核;互联网上网服务营业场所经营单 位（含港、澳投资）设立审批; 互联网上网服务营业场所信息网络安 全审核互联网上网服务营业场所经营 单位（含港、澳投资）设立审批 申请从事经营性互联网文 化活动，应当向所在地省 、自治区、直辖市人民政 府文化和旅游行政部门提
R5006	游乐园服务	9020游乐园	游乐园服务 9020游乐园
R5007	休闲观光活动	9030休闲观光活动	休闲观光活动 9030休闲观光活动
R5009	组织体育表演活动	9052体育表演服务	组织体育表演活动 9052体育表演服务
R5010	文化娱乐经纪人服务	9053文化娱乐经纪人	文化娱乐经纪人服务 9053文化娱乐经纪人
R5011	演出经纪	9053文化娱乐经纪人；9059其他文化艺术经纪代理 台湾地区投资者在大陆投资设立合资、 合作经营的演出经纪机构的	演出经纪 9053文化娱乐经纪人；9059其他文化艺术经纪代理 台湾地区投资者在大陆投资设立合资、 合作经营的演出经纪机构的审批;港、 澳地区投资者在内地投资设立合资、合 作、独资经营的演出经纪机构的审批; 演出经纪机构设立审批;中外合资经营 、中外合作经营的演出经纪机构设立审 台湾地区投资者在大陆投资设立合资 、合作经营的演出经纪机构的审批港 、澳地区投资者在内地投资设立合资 、合作、独资经营的演出经纪机构的 审批演出经纪机构设立审批中外合资 经营、中外合作经营的演出经纪机构 文艺表演团体、演出经纪 机构从事营业性演出经营 活动许可；开展营业性演 出许可；
